Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
13/07/2019,01:35:36,2.4,19.4075,-99.1952,menos de 1,"menos de 1 km al OESTE de MIGUEL HIDALGO, CDMX",13/07/2019,06:35:36,revisado
13/07/2019,11:39:20,2.4,19.392,-99.2173,menos de 1,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",13/07/2019,16:39:20,revisado
14/07/2019,02:16:41,2.1,19.405,-99.1912,1,"menos de 1 km al SUR de MIGUEL HIDALGO, CDMX",14/07/2019,07:16:41,revisado
16/07/2019,01:36:44,2.5,19.4045,-99.2049,1,"1 km al NOROESTE de V ALVARO OBREGON, CDMX",16/07/2019,06:36:44,revisado
16/07/2019,22:59:50,3.3,19.4079,-99.2054,1.1,"1 km al NOROESTE de V ALVARO OBREGON, CDMX",17/07/2019,03:59:50,revisado
16/07/2019,23:10:52,2.6,19.4028,-99.2102,menos de 1,"1 km al NOROESTE de V ALVARO OBREGON, CDMX",17/07/2019,04:10:52,revisado
16/07/2019,23:18:46,2.4,19.4019,-99.2138,menos de 1,"1 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,04:18:46,revisado
17/07/2019,00:33:12,2.2,19.4458,-99.2055,1,"5 km al NOROESTE de MIGUEL HIDALGO, CDMX",17/07/2019,05:33:12,revisado
17/07/2019,00:41:36,2.4,19.3983,-99.2173,menos de 1,"2 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,05:41:36,revisado
17/07/2019,00:45:53,2.4,19.401,-99.213,menos de 1,"1 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,05:45:53,revisado
17/07/2019,01:04:24,2.4,19.398,-99.2158,menos de 1,"2 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,06:04:24,revisado
17/07/2019,14:28:05,1.9,19.406,-99.216,menos de 1,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",17/07/2019,19:28:05,revisado
17/07/2019,22:30:06,1.8,19.4072,-99.1938,1,"menos de 1 km al OESTE de MIGUEL HIDALGO, CDMX",18/07/2019,03:30:06,revisado
18/07/2019,13:54:50,2.3,19.379,-99.1922,1,"2 km al SURESTE de V ALVARO OBREGON, CDMX",18/07/2019,18:54:50,revisado
18/07/2019,15:43:50,1.5,19.426,-99.1918,menos de 1,"2 km al NORTE de MIGUEL HIDALGO, CDMX",18/07/2019,20:43:50,revisado
18/07/2019,16:32:53,1.8,19.4118,-99.1993,menos de 1,"1 km al NOROESTE de MIGUEL HIDALGO, CDMX",18/07/2019,21:32:53,revisado
28/07/2019,02:21:22,2.2,19.4064,-99.1987,1.2,"1 km al NORTE de V ALVARO OBREGON, CDMX",28/07/2019,07:21:22,revisado
28/07/2019,02:22:05,1.9,19.396,-99.206,2,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",28/07/2019,07:22:05,revisado
30/07/2019,12:23:50,1.2,19.408,-99.213,1,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",30/07/2019,17:23:50,revisado
30/07/2019,16:41:36,1.6,19.4398,-99.1884,2.4,"4 km al NORTE de MIGUEL HIDALGO, CDMX",30/07/2019,21:41:36,revisado
02/08/2019,23:17:01,2.3,19.4002,-99.2167,1,"2 km al OESTE de V ALVARO OBREGON, CDMX",03/08/2019,04:17:01,revisado
09/08/2019,05:55:05,2.1,19.3945,-99.2033,1.8,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",09/08/2019,10:55:05,revisado
01/09/2019,01:03:32,2.1,19.3302,-99.1623,3,"2 km al SUR de COYOACAN, CDMX",01/09/2019,06:03:32,revisado
01/09/2019,23:03:56,1.8,19.323,-99.132,1.6,"4 km al SURESTE de COYOACAN, CDMX",02/09/2019,04:03:56,revisado
23/09/2019,03:03:08,3.1,19.1722,-98.9467,12,"6 km al SURESTE de S ANDRES MIXQUIC, CDMX",23/09/2019,08:03:08,revisado
23/09/2019,03:21:08,3.1,19.1757,-98.9473,12.4,"6 km al SURESTE de S ANDRES MIXQUIC, CDMX",23/09/2019,08:21:08,revisado
19/10/2019,20:33:37,2.2,19.4018,-99.2173,1,"2 km al OESTE de V ALVARO OBREGON, CDMX",20/10/2019,01:33:37,revisado
15/11/2019,06:49:04,2.7,19.1533,-98.9627,9.4,"8 km al SURESTE de S ANTONIO TECOMITL, CDMX",15/11/2019,12:49:04,revisado
07/12/2019,13:53:27,1,19.4002,-99.2103,menos de 1,"1 km al OESTE de V ALVARO OBREGON, CDMX",07/12/2019,19:53:27,revisado
14/12/2019,12:56:55,1.4,19.3045,-99.2985,5,"4 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",14/12/2019,18:56:55,revisado
22/12/2019,09:57:11,3.5,19.0905,-99.2092,4.1,"14 km al SUR de S MIGUEL AJUSCO, CDMX",22/12/2019,15:57:11,revisado
03/01/2020,22:14:28,3.4,19.1718,-98.969,2.4,"5 km al SURESTE de S ANTONIO TECOMITL, CDMX",04/01/2020,04:14:28,revisado
04/01/2020,02:38:30,2.5,19.402,-99.22,2,"2 km al OESTE de V ALVARO OBREGON, CDMX",04/01/2020,08:38:30,revisado
15/01/2020,05:30:21,1.9,19.2862,-99.3833,2.7,"8 km al SUROESTE de SAN LORENZO ACOPILCO, CDMX",15/01/2020,11:30:21,revisado
07/06/2020,09:45:21,3,19.374,-99.2022,1,"3 km al SUR de V ALVARO OBREGON, CDMX",07/06/2020,14:45:21,revisado
07/06/2020,09:52:38,2.2,19.381,-99.188,3,"2 km al SURESTE de V ALVARO OBREGON, CDMX",07/06/2020,14:52:38,revisado
09/06/2020,17:32:04,1.8,19.378,-99.202,3,"2 km al SUR de V ALVARO OBREGON, CDMX",09/06/2020,22:32:04,revisado
12/06/2020,06:26:11,1.8,19.3825,-99.2275,menos de 1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",12/06/2020,11:26:11,revisado
30/06/2020,19:07:26,2.8,19.3718,-99.138,2,"3 km al NORESTE de COYOACAN, CDMX",01/07/2020,00:07:26,revisado
01/07/2020,01:03:44,1.9,19.3512,-99.1605,7,"menos de 1 km al NORESTE de COYOACAN, CDMX",01/07/2020,06:03:44,revisado
03/07/2020,22:05:16,2.1,19.385,-99.084,1,"2 km al SURESTE de IZTACALCO, CDMX",04/07/2020,03:05:16,revisado
04/07/2020,02:37:18,2.3,19.385,-99.084,1,"2 km al SURESTE de IZTACALCO, CDMX",04/07/2020,07:37:18,revisado
04/07/2020,07:15:08,1.7,19.3352,-99.1657,5.6,"2 km al SUR de COYOACAN, CDMX",04/07/2020,12:15:08,revisado
09/07/2020,09:28:33,2.2,19.381,-99.07,1,"3 km al SURESTE de IZTACALCO, CDMX",09/07/2020,14:28:33,revisado
15/07/2020,18:04:48,1.6,19.426,-99.211,1,"3 km al NOROESTE de MIGUEL HIDALGO, CDMX",15/07/2020,23:04:48,revisado
15/09/2020,21:22:25,1.7,19.2722,-99.3405,2,"6 km al SUR de SAN LORENZO ACOPILCO, CDMX",16/09/2020,02:22:25,revisado
05/11/2020,02:35:31,1.5,19.379,-99.212,1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",05/11/2020,08:35:31,revisado
14/04/2021,11:35:56,2,19.3382,-99.1548,1.4,"1 km al SURESTE de COYOACAN, CDMX",14/04/2021,16:35:56,revisado
31/05/2021,09:21:12,1.6,19.3957,-99.2237,1,"3 km al OESTE de V ALVARO OBREGON, CDMX",31/05/2021,14:21:12,revisado
06/07/2021,02:02:37,1.5,19.4663,-99.0465,12.8,"7 km al ESTE de GUSTAVO A. MADERO, CDMX",06/07/2021,07:02:37,revisado
27/07/2021,10:35:46,2.8,19.19,-98.95,5,"4 km al SURESTE de S ANDRES MIXQUIC, CDMX",27/07/2021,15:35:46,revisado
27/07/2021,12:37:52,3.4,19.1578,-98.9607,2,"7 km al SURESTE de S ANTONIO TECOMITL, CDMX",27/07/2021,17:37:52,revisado
27/08/2021,09:18:16,1.6,19.2857,-99.3038,16.2,"5 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",27/08/2021,14:18:16,revisado
29/08/2021,23:20:44,2.1,19.381,-99.205,3,"2 km al SUR de V ALVARO OBREGON, CDMX",30/08/2021,04:20:44,revisado
31/08/2021,22:43:03,2,19.4247,-99.1152,11,"1 km al NORTE de VENUSTIANO CARRANZA, CDMX",01/09/2021,03:43:03,revisado
07/10/2021,19:04:02,1,19.2625,-99.348,2,"8 km al SUROESTE de SAN LORENZO ACOPILCO, CDMX",08/10/2021,00:04:02,revisado
15/11/2021,20:04:29,1.1,19.3547,-99.1235,4.6,"3 km al OESTE de IZTAPALAPA, CDMX",16/11/2021,02:04:29,revisado
15/11/2021,20:05:18,1,19.2828,-99.0967,4.2,"5 km al ESTE de XOCHIMILCO, CDMX",16/11/2021,02:05:18,revisado
22/11/2021,04:08:58,2.4,19.496,-99.1635,14,"3 km al NORESTE de AZCAPOTZALCO, CDMX",22/11/2021,10:08:58,revisado
22/11/2021,22:14:25,2.4,19.4273,-99.0472,12,"6 km al NORESTE de IZTACALCO, CDMX",23/11/2021,04:14:25,revisado
09/12/2021,07:36:10,2,19.37,-99.1663,1.5,"2 km al NORTE de COYOACAN, CDMX",09/12/2021,13:36:10,revisado
06/01/2022,19:46:56,2.2,19.378,-99.0768,5.4,"3 km al NORESTE de IZTAPALAPA, CDMX",07/01/2022,01:46:56,revisado
07/01/2022,09:19:49,1.4,19.3697,-99.115,3,"3 km al NOROESTE de IZTAPALAPA, CDMX",07/01/2022,15:19:49,revisado
07/01/2022,09:20:06,1,19.3745,-99.1065,3,"2 km al NOROESTE de IZTAPALAPA, CDMX",07/01/2022,15:20:06,revisado
15/01/2022,02:52:17,2.3,19.1358,-98.9963,21.6,"7 km al SURESTE de MILPA ALTA, CDMX",15/01/2022,08:52:17,revisado
25/01/2022,07:37:16,1,19.4215,-99.0607,1,"5 km al NORESTE de IZTACALCO, CDMX",25/01/2022,13:37:16,revisado
04/02/2022,13:24:58,0.6,19.29,-99.3345,1,"4 km al SUR de SAN LORENZO ACOPILCO, CDMX",04/02/2022,19:24:58,revisado
06/02/2022,07:27:57,2.1,19.2225,-99.1393,10.9,"2 km al NORTE de S MIGUEL TOPILEJO, CDMX",06/02/2022,13:27:57,revisado
22/02/2022,16:26:35,0.3,19.2805,-99.3332,7,"5 km al SUR de SAN LORENZO ACOPILCO, CDMX",22/02/2022,22:26:35,revisado
22/02/2022,16:26:43,0.3,19.286,-99.3388,7,"5 km al SUROESTE de SAN LORENZO ACOPILCO, CDMX",22/02/2022,22:26:43,revisado
22/02/2022,16:26:46,0.9,19.2792,-99.3352,7,"6 km al SUR de SAN LORENZO ACOPILCO, CDMX",22/02/2022,22:26:46,revisado
25/02/2022,07:26:01,1.9,19.4033,-99.197,5.3,"menos de 1 km al NORESTE de V ALVARO OBREGON, CDMX",25/02/2022,13:26:01,revisado
19/03/2022,22:57:18,1.4,19.2113,-99.2342,4.5,"3 km al OESTE de S MIGUEL AJUSCO, CDMX",20/03/2022,04:57:18,revisado
08/04/2022,18:20:36,1.8,19.3468,-99.1872,3,"3 km al OESTE de COYOACAN, CDMX",08/04/2022,23:20:36,revisado
09/05/2022,15:45:20,1.4,19.4003,-99.0468,1.8,"5 km al ESTE de IZTACALCO, CDMX",09/05/2022,20:45:20,revisado
23/05/2022,06:58:28,2.4,19.4798,-99.0628,12.3,"5 km al ESTE de GUSTAVO A. MADERO, CDMX",23/05/2022,11:58:28,revisado
24/05/2022,14:31:56,1.4,19.48,-99.063,12.3,"5 km al ESTE de GUSTAVO A. MADERO, CDMX",24/05/2022,19:31:56,revisado
24/05/2022,23:58:09,1.1,19.48,-99.063,12.3,"5 km al ESTE de GUSTAVO A. MADERO, CDMX",25/05/2022,04:58:09,revisado
25/05/2022,00:13:44,1.1,19.4415,-99.0793,7,"5 km al NORESTE de VENUSTIANO CARRANZA, CDMX",25/05/2022,05:13:44,revisado
03/06/2022,23:12:42,2.4,19.4828,-99.2012,7.1,"2 km al OESTE de AZCAPOTZALCO, CDMX",04/06/2022,04:12:42,revisado
24/06/2022,09:37:06,1.2,19.3045,-99.3123,2,"3 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",24/06/2022,14:37:06,revisado
08/07/2022,09:36:29,2.1,19.3952,-99.1073,7,"1 km al OESTE de IZTACALCO, CDMX",08/07/2022,14:36:29,revisado
27/07/2022,12:19:42,0.9,19.2892,-99.3128,1,"5 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",27/07/2022,17:19:42,revisado
