AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2024,12,Salud,Proteccion Contra Riesgos Sanitarios,"$17,645,442.00 ",1.36095,"$12,965,532.90 "
2024,12,Salud,Vigilancia epidemiologica,"$401,368,709.00 ",1.36095,"$294,918,041.80 "
2024,13,Marina,Emplear el Poder Naval de la Federacion para salvaguardar la soberania y seguridad nacionales,"$13,005,275.00 ",1.36095,"$9,556,027.04 "
2024,13,Marina,Operación y conservación de infraestructura ferroviaria,"$760,000.00 ",1.36095,"$558,433.45 "
2024,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Vivienda Social,"$43,320,282.00 ",1.36095,"$31,830,913.70 "
2024,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Mejoramiento Urbano (PMU),"$415,240,270.00 ",1.36095,"$305,110,599.20 "
2024,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo a la funcion publica y buen gobierno,"$4,117,451.00 ",1.36095,"$3,025,424.15 "
2024,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo administrativo,"$13,043,037.00 ",1.36095,"$9,583,773.83 "
2024,16,Medio Ambiente y Recursos Naturales,Capacitacion Ambiental y Desarrollo Sustentable,"$4,717,694.00 ",1.36095,"$3,466,471.21 "
2024,16,Medio Ambiente y Recursos Naturales,Apoyos para el Desarrollo Forestal Sustentable,"$903,562,985.00 ",1.36095,"$663,920,779.60 "
2024,16,Medio Ambiente y Recursos Naturales,"Agua Potable, Drenaje y Tratamiento","$717,634,778.00 ",1.36095,"$527,304,293.30 "
2024,16,Medio Ambiente y Recursos Naturales,Conservación y Manejo de Áreas Naturales Protegidas,"$68,870,817.00 ",1.36095,"$50,604,957.57 "
2024,16,Medio Ambiente y Recursos Naturales,Gestion integral y sustentable del agua,"$1,238,369,052.00 ",1.36095,"$909,929,866.60 "
2024,16,Medio Ambiente y Recursos Naturales,Inspección y Vigilancia del Medio Ambiente y Recursos Naturales,"$61,930,227.00 ",1.36095,"$45,505,144.94 "
